player_id,hero_name,role,timePlayed_value,matchesWinPct_value,matchesPlayed_value,kdRatio_value,kdaRatio_value,totalHeroDamagePerMinute_value,totalHeroHealPerMinute_value,totalDamageTakenPerMinute_value,lastKills_value,totalMvp_value,totalSvp_value,percent_of_time_played
yuki >w<,Emma Frost,vanguard,1149.467,59.374999999999986,3.2,3.111111111111111,3.5555555555555554,1757.0,0.0,2598.0,12,1,0,1.9499117332144253
yuki >w<,Angela,vanguard,905.915,91.30434782608697,2.3,4.666666666666667,5.333333333333333,1000.0,0.0,1461.0,11,1,0,1.5367594613807494
yuki >w<,Mantis,strategist,2898.265,97.56097560975611,4.1,4.421052631578948,12.31578947368421,1212.0,1549.0,652.0,31,0,0,4.916505588646482
yuki >w<,Rocket Raccoon,strategist,2712.436,68.29268292682927,4.1,1.4,10.2,97.0,2295.0,307.0,3,0,0,4.601272400158685
yuki >w<,Jeff The Land Shark,strategist,1159.732,42.85714285714286,1.4,2.3333333333333335,4.583333333333333,1222.0,1768.0,641.0,8,0,0,1.9673248855201857
cyber athlete1,Spider-Man,duelist,49020.676,68.19526627218936,67.6,4.141304347826087,5.091304347826087,1236.0,0.0,658.0,1197,26,16,73.62154383570073
cyber athlete1,Rocket Raccoon,strategist,4494.813,15.625,6.4,0.3684210526315789,3.3684210526315788,79.0,2422.0,611.0,2,0,0,6.750520378641402
cyber athlete1,Iron Fist,duelist,11317.759,60.9271523178808,15.1,3.5277777777777777,3.5462962962962963,1640.0,55.0,1369.0,182,3,2,16.99753977975327
cyber athlete1,Star-Lord,duelist,1751.441,20.0,2.0,3.1666666666666665,3.1666666666666665,1834.0,0.0,885.0,26,0,0,2.630396005904601
duqk3,Psylocke,duelist,15457.487,58.620689655172406,20.3,3.4358974358974357,3.480769230769231,1915.0,0.0,825.0,277,6,3,18.071807221641702
duqk3,Phoenix,duelist,11534.036,70.96774193548387,15.5,4.764044943820225,5.235955056179775,2234.0,146.0,779.0,204,5,3,13.484784110086936
duqk3,Blade,duelist,1230.562,100.0,1.0,2.7058823529411766,3.823529411764706,1874.0,185.0,1140.0,16,0,0,1.4386865884653732
duqk3,Namor,duelist,3165.961,80.0,5.0,5.321428571428571,5.75,2032.0,0.0,872.0,67,1,1,3.7014190510550637
